id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
0,,,,,,Sol,0.0,0.0,0.0,0.0,0.0,0.0,-26.7,4.85,G2V,0.656,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,0,,1.0,,,
3,3,224699,,,,,0.000335,38.859279,442.4779,5.24,-2.91,0.0,6.61,-1.619,B9,-0.019,344.552785,0.030213,277.614965,0.00000392,0.00001124,-0.00000486,0.0000876262870725,0.6782223625543176,0.0000000254042369,-0.000000014108078,,,And,1,3,,386.9011316551087,,,
19,19,224721,,,,,0.003554,38.30405,249.3766,-2.5,-15.07,16.0,6.53,-0.454,G5,0.955,195.693966,0.182078,154.572309,0.00002414,-0.000003,-0.00000415,0.0009304489470074,0.6685317837125663,-0.000000012120342,-0.000000073061421,,,And,1,19,,132.31223331133708,,,
25,25,224750,9077,,,,0.0053,-44.290561,81.367,58.36,-108.64,3.0,6.28,1.728,G3IV,0.763,58.243094,0.080879,-56.818381,-0.00002776,0.00002298,-0.00003282,0.0013876607010597569,-0.7730161236388425,0.000000282937264,-0.000000526701582,,,Phe,1,25,,17.733726245425586,,,
34,34,224758,9078,,,,0.006638,26.918108,74.6269,42.2,-53.47,0.0,6.43,2.066,F7.5IV-V,0.514,66.54131,0.115654,33.784832,0.00000873,0.00001528,-0.00001725,0.0017378621745154513,0.4698096167386025,0.0000002045913732,-0.000000259229874,,,Peg,1,34,,12.989726288978545,,,
43,43,224784,9079,,,,0.008593,59.559679,136.2398,-80.6,-24.07,-33.0,6.18,0.508,G9III-IV,1.032,69.024292,0.155048,117.45989,-0.00000327,-0.00005324,-0.00003715,0.0022496078515178816,1.0395125049217948,-0.0000003907598265,-0.000000116694652,,,Cas,1,43,,54.55065881703731,,,
50,50,224782,,,,,0.009533,-53.097713,59.4177,52.98,-20.52,0.0,6.49,2.62,G1IV,0.616,35.677374,0.089097,-47.513999,-0.00000476,0.00001525,-0.00000355,0.0024958074750196357,-0.9267299094829613,0.000000256854288,-0.000000099483767,,,Phe,1,50,,7.798301105232586,,,
63,63,224801,9080,,,,0.012119,45.253334,187.9699,17.38,0.22,-3.0,6.36,-0.01,B9p SiEu,-0.047,132.325125,0.419892,133.501154,-0.00000235,0.00001583,-0.00000204,0.003172863280404705,0.7898196673326625,0.0000000842606177,0.00000000106659,,,And,1,63,,87.90225168308842,CG,6.382,6.322
73,73,224826,,,,,0.014694,66.848011,280.112,-20.78,18.19,-12.0,6.9,-0.337,K2,1.446,110.131222,0.423507,257.553115,-0.00002743,-0.00002832,-0.00000157,0.00384682048752533,1.16671788964157,-0.0000001007442828,0.000000088187608,,,Cep,1,73,,118.79550279416512,,,
88,88,224834,9081,,Tau Phe,,0.017941,-48.809876,181.8182,-17.92,-6.75,8.0,5.71,-0.588,G8III,0.911,119.736878,0.562356,-136.823418,0.00000099,-0.00001579,-0.00001008,0.004696959812148889,-0.8518930353430763,-0.0000000868786116,-0.000000032724923,Tau,,Phe,1,88,,149.69248567600363,,,
