Name,Type,RA,Dec,Mag,MajAx,Constellation,CommonName
IC0010,G,0.338150,59.303778,10.35,6.76,Cas,
IC0043,G,0.706128,29.641639,13.25,1.26,And,
IC0048,G,0.726242,-8.186500,13.16,1.12,Cet,
IC0049,G,0.732258,1.850278,13.78,1.28,Cet,
IC0059,RfN,0.957947,61.143667,,10.00,Cas,
IC0063,HII,0.991344,60.911694,,10.00,Cas,
IC0064,G,0.990117,27.059056,13.96,1.03,Psc,
IC0066,G,1.009028,30.797222,14.10,1.23,Psc,
IC0077,G,1.145486,-15.420917,15.04,0.52,Cet,
IC0080 NED02,G,1.147536,-15.406306,12.90,1.50,Cet,
IC0088,G,1.242028,0.791750,18.07,0.53,Cet,
IC0093,G,1.317317,-17.060389,13.57,1.21,Cet,
IC0115,G,1.448456,19.214694,14.03,0.76,Psc,
IC0123,G,1.480961,2.446444,15.16,0.67,Cet,
IC0127,G,1.496558,-6.980056,9.20,1.69,Cet,
IC0131,HII,1.554050,30.753250,,0.30,Tri,
IC0132,HII,1.554422,30.945611,14.82,0.67,Tri,
IC0133,HII,1.554217,30.888389,18.45,0.45,Tri,
IC0134,*,1.556944,30.900667,15.98,,Tri,
IC0135,HII,1.570981,30.620083,,0.40,Tri,
IC0142,HII,1.565425,30.757806,14.20,0.50,Tri,
IC0143,HII,1.569703,30.776417,,0.30,Tri,
IC0163,G,1.820831,20.711306,13.26,1.62,Ari,
IC0166,OCl,1.873283,61.852611,11.70,7.50,Cas,
IC0167,G,1.852378,21.912806,13.26,1.60,Ari,
IC0173,G,1.932542,1.285167,14.09,0.92,Cet,
IC0178,G,1.981908,36.674694,13.28,0.94,And,
IC0179,G,2.003194,38.021333,12.56,1.12,And,
IC0184,G,1.997564,-6.840389,13.89,1.12,Cet,
IC0195,G,2.062392,14.709278,13.15,1.46,Ari,
IC0200,G,2.090733,31.175333,12.82,1.38,Tri,
IC0213,G,2.234522,16.455889,13.20,1.43,Ari,
IC0214,G,2.234886,5.173250,14.16,0.58,Cet,
IC0235,G,2.547442,20.641250,14.35,0.39,Ari,
IC0239,G,2.607744,38.969917,11.20,4.25,And,
IC0257,G,2.829289,46.976194,12.68,1.93,Per,
IC0264,G,2.813228,-0.109194,16.88,0.50,Cet,
IC0267,G,2.897292,12.849222,13.09,1.86,Ari,
IC0277,G,2.997389,2.771361,13.12,1.00,Cet,
IC0283,G,3.064017,-0.204444,17.93,0.71,Cet,
IC0284,G,3.102753,42.371917,11.59,4.29,Per,
IC0289,PN,3.172017,61.316778,13.20,0.58,Cas,
IC0292,G,3.170256,40.765667,13.47,1.19,Per,
IC0302,G,3.214242,4.707028,12.89,1.84,Cet,
IC0308,G,3.271064,41.180750,14.22,1.16,Per,
IC0310,G,3.278606,41.324972,12.71,1.50,Per,
IC0334,G,3.754744,76.638306,11.50,2.34,Cam,
IC0336,Neb,3.632511,23.363139,,,Tau,
IC0341,Neb,3.682136,21.960194,,134.90,Tau,
IC0343,G,3.668650,-18.443472,13.20,1.51,Eri,
IC0346,G,3.695739,-18.266972,12.64,1.95,Eri,
IC0349,RfN,3.772253,23.939806,,25.70,Tau,Barnard's Merope Nebula
IC0351,PN,3.792503,35.046917,11.90,0.12,Per,
IC0353,Neb,3.883631,25.848000,,181.97,Tau,
IC0354,Neb,3.899419,23.147000,,128.82,Tau,
IC0355,G,3.896183,19.973917,15.40,0.67,Tau,
IC0356,G,4.129697,69.812444,10.24,4.02,Cam,
IC0359A,RfN,4.311389,28.290000,,15.00,Tau,
IC0360,Neb,4.150714,26.131194,,180.00,Tau,
IC0361,OCl,4.314083,58.249500,11.70,7.20,Cam,
IC0387,G,4.695614,-7.086194,12.99,1.60,Eri,
IC0391,G,4.955869,78.188833,12.68,1.39,Cam,
IC0399,G,5.028892,-4.288750,14.80,0.54,Eri,
IC0405,Neb,5.274856,34.356167,,50.00,Aur,Flaming Star Nebula
IC0410,Neb,5.378333,33.366667,,40.00,Aur,
IC0414,G,5.365267,3.342028,14.40,0.60,Ori,
IC0417,HII,5.468333,34.423944,,13.00,Aur,
IC0418,PN,5.457831,-12.697278,9.44,0.20,Lep,
IC0420,Neb,5.535972,-4.504750,,6.03,Ori,
IC0423,Neb,5.556114,-0.614500,,6.00,Ori,
IC0424,Neb,5.560344,-0.413139,,2.50,Ori,
IC0426,Neb,5.608717,-0.298306,,10.00,Ori,
IC0427,Neb,5.605006,-6.616444,,,Ori,
IC0428,Neb,5.606725,-6.451556,,,Ori,
IC0429,Neb,5.638572,-7.040500,,,Ori,
IC0430,Neb,5.643325,-7.083111,14.40,10.96,Ori,
IC0431,RfN,5.670564,-1.462806,,8.00,Ori,
IC0432,RfN,5.682217,-1.507000,,10.00,Ori,
IC0434,HII,5.683578,-2.453778,,90.00,Ori,Flame Nebula
IC0435,RfN,5.716825,-2.312611,,3.98,Ori,
IC0438,G,5.883356,-17.876083,12.07,2.80,Lep,
IC0443,SNR,6.277058,22.531667,,50.00,Gem,Gem A
IC0444,RfN,6.309444,23.313333,,8.00,Gem,
IC0447,HII,6.516756,9.897444,,25.00,Mon,
IC0448,HII,6.545928,7.388639,,15.00,Mon,
IC0450,G,6.870069,74.427083,14.12,1.38,Cam,
IC0466,HII,7.144111,-4.318000,12.06,1.00,Mon,
IC0467,G,7.505108,79.872528,12.57,1.99,Cam,
IC0470,**,7.392083,46.078667,12.93,,Lyn,
IC0486,G,8.005828,26.613528,13.20,0.87,Gem,
IC0492,G,8.094072,26.168194,17.19,1.02,Cnc,
IC0497,G,8.168353,24.922083,14.26,0.78,Cnc,
IC0509,G,8.534306,24.010917,13.22,1.02,Cnc,
IC0520,G,8.895072,73.490944,11.83,2.10,Cam,
IC0529,G,9.309111,73.759333,12.30,3.21,Cam,
IC0558,G,9.750097,29.452306,13.90,0.93,Leo,
IC0588,G,10.035289,3.057694,14.25,0.90,Sex,
IC0614,G,10.447736,-3.464750,14.80,0.78,Sex,
IC0632,G,10.653275,-0.409472,14.18,0.98,Sex,
IC0633,G,10.656772,-0.389306,14.62,0.65,Sex,
IC0691,G,11.445644,59.155417,13.74,1.14,UMa,
IC0701,G,11.516856,20.468944,14.63,0.74,Leo,
IC0707,G,11.562400,21.380056,13.84,0.65,Leo,
IC0732N,G,11.766508,20.447028,15.42,0.65,Leo,
IC0742,G,11.850625,20.799722,13.93,1.07,Leo,
IC0745,G,11.903408,0.136639,13.52,0.78,Vir,
IC0749,G,11.976125,42.734028,12.28,2.13,UMa,
IC0750,G,11.981167,42.722472,11.82,2.11,UMa,
IC0751,G,11.981278,42.570333,14.39,1.10,UMa,
IC0756,G,12.049392,4.845861,17.54,1.70,Vir,
IC0764,G,12.170608,-29.736806,12.41,4.84,Hya,
IC0775,G,12.314908,12.912667,13.26,1.05,Vir,
IC0785,G,12.383911,-13.223639,14.65,1.13,Crv,
IC0786,G,12.386375,-13.204667,14.04,1.03,Crv,
IC0794,G,12.469058,12.093306,13.53,1.32,Vir,
IC0798,G,12.542614,15.415389,14.26,0.90,Com,
IC0809,G,12.702406,11.754278,13.72,0.97,Vir,
IC0813,G,12.753289,23.036139,13.42,0.94,Com,
IC0821,G,12.790600,29.787778,13.80,1.00,Com,
IC0829,G,12.874286,-15.518528,13.46,0.38,Crv,
IC0839,G,12.970847,28.125917,14.56,0.48,Com,
IC0842,G,13.010986,29.019417,13.93,1.14,Com,
IC0851,G,13.142872,21.049778,13.91,1.13,Com,
IC0853,G,13.144925,52.774278,13.57,1.03,UMa,
IC0854,G,13.163881,24.577556,14.30,0.92,Com,
IC0875,G,13.285436,57.539444,13.00,1.55,UMa,
IC0894,G,13.534672,17.048972,16.37,1.14,Com,
IC0900,G,13.578614,9.336861,13.10,1.28,Vir,
IC0903,G,13.640575,-0.227639,13.62,1.64,Vir,
IC0904,G,13.642281,0.540194,14.21,1.05,Vir,
IC0907,G,13.656392,51.051056,14.26,1.11,UMa,
IC0910,G,13.685517,23.282056,15.10,0.68,Boo,
IC0971,G,14.064664,-10.140583,12.88,2.26,Vir,
IC0972,PN,14.073864,-17.228194,13.90,0.70,Vir,
IC0974,*,14.109544,-5.492417,16.72,,Vir,
IC0983,G,14.167881,17.733833,11.96,2.32,Boo,
IC0989,G,14.247594,3.130889,13.07,0.98,Vir,
IC1029,G,14.540906,49.904611,11.29,2.78,Boo,
IC1065,G,14.822658,63.270556,13.71,0.88,Dra,
IC1076,G,14.916561,18.037333,13.69,0.91,Boo,
IC1084,G,15.020800,-7.474917,14.23,0.87,Lib,
IC1102,G,15.184708,4.293861,15.50,1.04,Vir,
IC1129,G,15.533561,68.246333,13.50,1.01,UMi,
IC1151,G,15.975650,17.441472,12.92,2.23,Se1,
IC1155,G,16.009933,15.685639,14.35,0.79,Se1,
IC1156,G,16.010378,19.723222,13.44,1.10,Her,
IC1158,G,16.026133,1.707833,13.09,1.89,Se1,
IC1162,G,16.021203,17.677833,14.68,0.72,Her,
IC1166 NED01,G,16.035811,26.329333,16.77,0.53,CrB,
IC1173,G,16.086822,17.422861,14.57,0.92,Her,
IC1178,G,16.092533,17.601444,13.92,1.34,Her,
IC1181,G,16.092736,17.593694,14.79,1.01,Her,
IC1182,G,16.093556,17.802139,14.65,0.84,Her,
IC1185,G,16.095747,17.717028,13.84,0.74,Her,
IC1186,G,16.095617,17.362167,14.69,0.78,Her,
IC1189,G,16.104119,18.182889,14.43,0.79,Her,
